interview_id,candidate_id,req_id,interview_date,interview_type,interviewer_role,skill_focus,interview_score,recommendation
I3684,C2910,R1018,2024-08-16,Video Caall,marketing manager,Leadership,3.6,hire
I3685,C3234,R1080,2024-05-05,Video Call ,Maarketing Manager,LEADERSHIP,4.2,Hiree
I3686,C3607,R1048,2024-11-09,Video Call ,Recruiter,Adaaptability,3.2,Neutral 
I3687,C3116,R1035,2024-08-16, In-Person, HR Director,Adaptability ,2.8,No hire
I3688,C3882,R1077,2024-01-13,Video Call,HR Director,Leaadership,3.5, Neutral
I3689,C3086,R1089,2024-04-12,Phone,Markeeting Manager,Leadership ,2.7,Neutral 
I3690,C3220,R1029,2024-11-14,phone,Engineering Leaad,Adaptability,4.1,Hire
I3691,C4409,R1140,2024-07-01,Phone, Recruiter,Teamwork,4.5,No Hiree
I3692,C4973,R1014,2024-07-06,IN-PERSON, HR Director, Teamwork,3.4,No Hiree
I3693,C3007,R1029,2024-05-13,VIDEO CALL,HR DIRECTOR,Leeadership,5.0,Strong Hire
I3694,C3910,R1106,2024-02-09,phone,Recruiter,Teamwork,4.5,No Hiree
I3695,C2322,R1021,2024-08-17,In-Peerson,engineering lead,technical skills,4.2,No hire
I3696,C3133,R1140,2024-09-18,Videeo Call, Recruiter, Teamwork,3.7,neutral
I3697,C4633,R1024,2024-07-23,In-Peerson,Ops Director,Teamwork,3.2,Neeutral
I3698,C4749,R1098,2024-07-25,In-Peerson,OPS DIRECTOR,Teamwork,4.4,Hire 
I3699,C3405,R1064,2024-04-02,In-Person ,recruiter,PERSONALITY,4.3,Hire
I3700,C4352,R1010,2024-11-15,IN-PERSON,Markeeting Manager,Personality,3.3,Neutral
I3701,C4191,R1017,2024-09-29,VIDEO CALL,hr director,Personality,3.4,hire
I3702,C3591,R1029,2024-05-09,Video Call,Engineering Leaad,Personaality,4.7,hire
I3703,C3858,R1077,2024-04-06,In-Person , HR Director, Leadership,4.7,Hire
I3704,C3340,R1026,2024-11-26, In-Person,engineering lead,TECHNICAL SKILLS,4.8,Hire
I3705,C2924,R1076,2024-06-03,video call,Ops Direector, Leadership,4.8,Neutraal
I3706,C2391,R1020,2024-04-10,phone,HR Director ,Technical skills,2.5,No Hire 
I3707,C3095,R1076,2024-12-21,Video Call ,ops director,Personality,4.9,NO HIRE
I3708,C2487,R1077,2024-10-10,Video Call ,Engineering Lead, Adaptability,4.3,STRONG HIRE
I3709,C3536,R1080,2024-10-02,Video Call ,ops director,Leaadership,3.4,Hire
I3710,C2841,R1022,2024-05-12,Phone,engineering lead,Problem Solving,4.3,hire
I3711,C3577,R1124,2024-05-03, Phone,HR DIRECTOR,PERSONALITY,2.8,No Hire
I3712,C2213,R1045,2024-02-16,in-person,hr director,Problem Solving ,2.9, Hire
I3713,C2356,R1023,2024-04-10,Videeo Call,Recruiter,communication,3.3,No Hire 
I3714,C2221,R1107,2024-08-18,Phone ,HR Director,Communication,4.5,No Hire
I3715,C3806,R1078,2024-06-12,in-person,Recruiter,Probleem Solving,3.4,No Hire 
I3716,C3870,R1060,2024-03-13,Videeo Call, HR Director, Personality,2.8,hire
I3717,C3665,R1040,2024-01-12, In-Person,ENGINEERING LEAD,Teechnical Skills,3.3,strong hire
I3718,C3717,R1111,2024-12-06,Phonee,marketing manager,Technical Skills,4.7,HIRE
I3719,C3024,R1076,2024-07-01,phone,MARKETING MANAGER,LEADERSHIP,2.9,Strong Hire
I3720,C4613,R1065,2024-10-20,VIDEO CALL,Markeeting Manager,Communication,3.8,No Hire
I3721,C4901,R1053,2024-03-07,Phone,Recruiter ,Problem solving,2.8,No Hire
I3722,C2543,R1056,2024-10-13,In-Person,Recruiter,COMMUNICATION,2.6, Neutral
I3723,C3391,R1002,2024-11-08,In-Person, HR Director,Adaptability,3.9,STRONG HIRE
I3724,C3432,R1109,2024-11-19, Phone,ENGINEERING LEAD,Teamwork,3.3,STRONG HIRE
I3725,C4113,R1121,2024-01-07,Video Call,Marketing Manager,Personality,2.9, Hire
I3726,C3714,R1066,2024-10-23, Video Call, Marketing Manager,Leeadership,4.2,No Hire
I3727,C2095,R1043,2024-01-19,video call,Ops Director ,Leeadership,4.9,No hire
I3728,C2384,R1101,2024-07-14,Video Call ,Engineeering Lead,ADAPTABILITY,3.1,Neutraal
I3729,C3423,R1044,2024-10-29,Video call,Recruiter,Leadership,3.5,HIRE
I3730,C2094,R1148,2024-02-10,phone,HR Direector, Technical Skills,3.7,No Hire
I3731,C4365,R1148,2024-05-05,In-Person,HR Director,Communication ,2.8,No Hire 
I3732,C4294,R1053,2024-04-29, Phone,engineering lead,problem solving,3.1,Strong Hire 
I3733,C3260,R1095,2024-04-20,VIDEO CALL,Ops director,Problem Solving ,4.7,Neutraal
I3734,C4619,R1078,2024-11-16,Phone ,HR DIRECTOR,Teeamwork,3.7,No Hiree
I3735,C4165,R1121,2024-12-05,In-Peerson,Engineeering Lead,TEAMWORK,4.0,Hire 
I3736,C4713,R1111,2024-03-19,IN-PERSON,HR DIRECTOR,Teamwork,4.4,Strong hire
I3737,C3005,R1074,2024-09-05,Video call,Reecruiter,Problem Solving ,3.6,No Hiree
I3738,C3677,R1092,2024-05-17,In-Person,Ops Director,Probleem Solving,3.2,Hire
I3739,C3149,R1037,2024-02-11,In-Person ,Ops Director,PERSONALITY,2.7,No hire
I3740,C3956,R1060,2024-02-14,Video Call ,ENGINEERING LEAD,Problem Solving,3.2, Neutral
I3741,C4809,R1078,2024-11-29, Phone,Ops Direector,TEAMWORK,3.6,no hire
I3742,C2482,R1071,2024-06-11,In-Person, Marketing Manager,Personality,3.2,Neutral 
I3743,C2294,R1101,2024-01-05,Videeo Call,engineering lead,Probleem Solving,3.6,Neutral
I3744,C2204,R1003,2024-02-13,In-person,ENGINEERING LEAD,technical skills,3.5,Hire
I3745,C3340,R1026,2024-06-05,In-Person,HR DIRECTOR,PERSONALITY,2.8,No hire
I3746,C4714,R1042,2024-12-01,IN-PERSON,Markeeting Manager,Leadership,3.9,No Hiree
I3747,C4843,R1149,2024-10-10,phone,Ops Director,Personality,4.5, Hire
I3748,C2020,R1038,2024-09-05,Phone ,HR Director,Teamwork,3.4,Neeutral
I3749,C2427,R1035,2024-01-21,Video Call , Engineering Lead,Leadership,3.4,Hiree
I3750,C4519,R1081,2024-04-15,Video Caall,Engineeering Lead,TEAMWORK,3.7,Strong Hire 
I3751,C3618,R1056,2024-08-15, In-Person,ops director,TECHNICAL SKILLS,4.3,No Hiree
I3752,C4566,R1140,2024-06-13,IN-PERSON,Ops Director ,Teamwork,2.9,Strong Hire 
I3753,C4959,R1053,2024-06-12,In-person,Ops director,Adaptability,4.2,Neutral 
I3754,C4248,R1006,2024-09-01,phone,HR Direector,Communication,3.1,No Hiree
I3755,C4626,R1008,2024-06-24, In-Person,Engineeering Lead,Technicaal Skills,3.9,Strong Hire
I3756,C2336,R1056,2024-10-20,in-person,ops director,Leaadership,3.4,STRONG HIRE
I3757,C4775,R1009,2024-04-15, In-Person,engineering lead, Adaptability,4.0,Hire 
I3758,C4753,R1009,2024-05-19,Phonee,ENGINEERING LEAD,Problem solving,3.8,No Hire
I3759,C3802,R1053,2024-01-10,Videeo Call,Engineeering Lead,Adaptability ,4.0,Strong Hire
I3760,C3481,R1025,2024-08-09, Video Call, Ops Director,Teamwork,4.1,No hire
I3761,C4199,R1018,2024-01-02,Video Caall,Recruiter ,Adaptability,4.5,HIRE
I3762,C4384,R1014,2024-04-17,Video Call,Markeeting Manager,Teamwork,3.2,Strong Hire 
I3763,C3474,R1149,2024-08-24,In-Person,marketing manager,Technical Skills,2.8, No Hire
I3764,C3863,R1031,2024-03-09, Phone, Ops Director,communication,4.5,No Hire
I3765,C2708,R1018,2024-11-27,Video Call ,Marketing Manager , Leadership,2.8, No Hire
I3766,C4995,R1094,2024-04-19,In-Person,engineering lead,Leadership ,4.7,No Hire
I3767,C4537,R1121,2024-10-09,In-Person ,Hr director,ADAPTABILITY,3.8,No Hire 
I3768,C2072,R1087,2024-07-25,In-Person , Marketing Manager,Adaaptability,3.4,Strong Hiree
I3769,C2181,R1061,2024-01-01, Phone,Recruiter,LEADERSHIP,3.1,No Hire
I3770,C3231,R1135,2024-09-09,Phone, Recruiter,Leaadership,4.1, Strong Hire
I3771,C4742,R1143,2024-09-22,In-Person, HR Director,Technical Skills ,4.3,No Hire
I3772,C4919,R1052,2024-04-07,Phone,Engineering Lead ,Teeamwork,2.6,Neutral
I3773,C4492,R1117,2024-02-23,video call,recruiter,Leadership ,4.0,Strong Hire
I3774,C3795,R1037,2024-12-24,In-Person,Maarketing Manager, Problem Solving,3.9,Neeutral
I3775,C4446,R1085,2024-12-06,Phone ,engineering lead,LEADERSHIP,2.8,No hire
I3776,C4251,R1122,2024-09-06,In-Peerson,Markeeting Manager,Teamwork,3.4,Hiree
I3777,C2983,R1148,2024-09-30,Video Call ,Ops Direector,Technicaal Skills,2.6,HIRE
I3778,C4205,R1075,2024-02-08, Phone,Recruiter,Communication ,4.6,Hire
I3779,C3114,R1014,2024-08-09,Phone,Ops Director, Adaptability,2.9,No hire
I3780,C3659,R1034,2024-09-23,In-person,Engineering Leaad,Teeamwork,3.6, Strong Hire
I3781,C2091,R1129,2024-10-14,Phone,Recruiter,Teamwork,4.5,Neutral 
I3782,C2628,R1130,2024-08-29,Video Call,OPS DIRECTOR,Adaptability ,3.0,Neutral
I3783,C4421,R1090,2024-04-10,video call,HR Direector,leadership,2.7,HIRE
I3784,C2680,R1120,2024-10-26, Phone,HR Director ,ADAPTABILITY,4.5,strong hire
I3785,C4003,R1096,2024-07-12,IN-PERSON, Engineering Lead,Leadership ,3.6, No Hire
I3786,C3524,R1146,2024-09-23,In-person,HR Director ,Teamwork ,3.2,strong hire
I3787,C2399,R1025,2024-03-14,In-Person ,Recruiter,Leaadership,3.0,Strong Hire 
I3788,C2237,R1016,2024-09-11,phone,Ops director,Leeadership,3.8, Strong Hire
I3789,C2328,R1119,2024-05-04,Videeo Call,HR DIRECTOR,technical skills,3.2,Hire
I3790,C3325,R1110,2024-01-06,Video Call,recruiter,Communicaation,2.9,Hiree
I3791,C2801,R1072,2024-12-04,Phone, Marketing Manager,Leaadership,2.6,Strong Hiree
I3792,C4723,R1094,2024-09-04,Videeo Call,Recruiter,Adaaptability,3.4,No Hire
I3793,C3724,R1053,2024-10-06,In-Person,Reecruiter,communication,3.7, Strong Hire
I3794,C4144,R1031,2024-01-23,In-Peerson,Ops Director, Teamwork,2.8,Neutral
I3795,C2926,R1035,2024-08-27,IN-PERSON, Marketing Manager,Teamwork ,4.5,No Hiree
I3796,C3222,R1142,2024-05-08,phone,Marketing Manager,Personality,4.0,Strong Hiree
I3797,C4331,R1119,2024-12-15,Phone,Recruiter,PERSONALITY,3.3,Strong Hire
I3798,C2217,R1053,2024-08-25,phone,engineering lead,Communication,5.0,Hiree
I3799,C2044,R1014,2024-03-11, Video Call,hr director,Personality,2.7,Hiree
I3800,C3396,R1114,2024-07-06,Phonee,RECRUITER,communication,3.6,Strong Hire
I3801,C3131,R1085,2024-12-15,In-Person,Hr director,Communication ,3.9,No hire
I3802,C4545,R1049,2024-09-02,in-person,Reecruiter,Personaality,3.1,no hire
I3803,C3275,R1125,2024-06-04, Video Call,Marketing manager,Adaptability ,2.8,hire
I3804,C2192,R1145,2024-10-16,PHONE,Ops director,communication,3.9,No Hire
I3805,C4368,R1101,2024-12-24,Phone,Engineering Leaad,Technicaal Skills,4.8,Strong Hire
I3806,C2109,R1061,2024-03-07,Phone,Engineeering Lead,Problem Solving,4.8,no hire
I3807,C3038,R1041,2024-04-16,In-Peerson,Recruiter ,Teechnical Skills,3.1,Hire 
I3808,C2979,R1085,2024-08-25,Videeo Call, Ops Director,Technicaal Skills,4.4,Neutraal
I3809,C4732,R1004,2024-02-10,Video Call,Reecruiter,Personality,3.3,Neutral
I3810,C4617,R1116,2024-06-19,Video call,Recruiter,COMMUNICATION,3.2,Neutraal
I3811,C4047,R1060,2024-12-24,Video Call ,Recruiter, Personality,4.7, Strong Hire
I3812,C3797,R1071,2024-03-24,In-person,recruiter,Peersonality,2.5, No Hire
I3813,C3981,R1090,2024-02-23,Phone,Ops Director , Adaptability,4.5,neutral
I3814,C2440,R1045,2024-12-10,Phone,Ops Director, Leadership,4.7, No Hire
I3815,C3438,R1056,2024-05-31,Video Call ,MARKETING MANAGER,Problem Solving,2.9,Neutral
I3816,C4076,R1093,2024-09-27, Video Call,Recruiter,Problem Solving,4.0,No Hiree
I3817,C3428,R1083,2024-04-21,In-Peerson,Reecruiter,LEADERSHIP,4.8,neutral
I3818,C4127,R1108,2024-11-01,Phonee,Ops Director,Technicaal Skills,4.7,Neutraal
I3819,C3534,R1043,2024-08-15,Video Call,HR Direector,Communication,3.1,NEUTRAL
I3820,C2285,R1031,2024-10-10,in-person,Recruiter,Adaptability,5.0,STRONG HIRE
I3821,C4445,R1129,2024-04-08,VIDEO CALL,HR Director,LEADERSHIP,3.2,Hire
I3822,C4803,R1106,2024-07-24,Phone,Hr director,Problem solving,3.1,Neutral
I3823,C4901,R1053,2024-11-09,Phonee, Ops Director,Teamwork,4.2,Strong Hiree
I3824,C3408,R1034,2024-02-16,IN-PERSON,HR Director ,Leeadership,3.3, Hire
I3825,C2559,R1130,2024-05-09,In-Person ,HR Director,Teamwork,2.6, Neutral
I3826,C4175,R1040,2024-05-11,In-Person ,Engineering Leaad,Adaptability ,3.1,Strong Hire
I3827,C2682,R1113,2024-06-03,Video Call ,ENGINEERING LEAD,Problem Solving,3.3,Neeutral
I3828,C2540,R1095,2024-01-15,Video Call ,Recruiter,Probleem Solving,3.9,Neeutral
I3829,C4780,R1008,2024-01-18,Phone,HR DIRECTOR,communication,3.1,Strong Hire
I3830,C2381,R1000,2024-10-16,In-Person ,Ops Direector,Leadership,4.9,Hire
I3831,C4148,R1009,2024-10-17,VIDEO CALL,Ops Director,communication,3.1, Hire
I3832,C3483,R1063,2024-01-05,VIDEO CALL,ops director,Leeadership,3.3,Strong Hiree
I3833,C2960,R1034,2024-04-01,PHONE,Ops Director,Leadership,2.5,Strong Hire
I3834,C4158,R1055,2024-02-12, Video Call,engineering lead,Communication,2.9,Hire
I3835,C4962,R1031,2024-12-03,Video Call ,Engineering Lead ,personality,3.5,NEUTRAL
I3836,C4851,R1032,2024-02-20,Phone,Engineeering Lead,LEADERSHIP,4.7,No Hire
I3837,C3456,R1089,2024-07-22,Phonee,Ops Director, Personality,2.9,Strong hire
I3838,C2226,R1118,2024-03-13,Video Call ,Engineering lead,Communication,3.9,No Hire
I3839,C2974,R1117,2024-08-16,In-person,Marketing Manager,Leadership,4.5,No Hire 
I3840,C4434,R1029,2024-11-13,Phone,HR Direector,leadership,3.2,no hire
I3841,C4597,R1110,2024-12-08,Video Call,Recruiter ,technical skills,3.9,Neutraal
I3842,C2541,R1146,2024-03-05,PHONE,engineering lead,PROBLEM SOLVING,2.6,Hire 
I3843,C2975,R1035,2024-10-26,PHONE,Ops Director,Adaptability,4.6,Hire
I3844,C3394,R1121,2024-08-07,IN-PERSON,ops director,Personality ,4.8,strong hire
I3845,C2864,R1143,2024-08-23,In-Person, Recruiter,PROBLEM SOLVING,4.9,Neutral 
I3846,C3239,R1052,2024-07-16,in-person,ENGINEERING LEAD,Personaality,4.6,NEUTRAL
I3847,C2533,R1104,2024-04-30,video call,Ops director,teamwork,2.9,Neutraal
I3848,C4645,R1022,2024-11-18,Video Caall,MARKETING MANAGER, Adaptability,3.2,No hire
I3849,C3403,R1055,2024-07-26,Video Caall,Ops Director,Communication,3.4,Strong Hire 
I3850,C4912,R1137,2024-05-18,Video call,Ops Director,ADAPTABILITY,4.0,Strong hire
I3851,C4187,R1051,2024-11-16,In-Person,ENGINEERING LEAD,Personaality,4.0,Neutral
I3852,C2125,R1068,2024-04-26,In-Person, Ops Director,technical skills,3.5,No Hire
I3853,C3957,R1106,2024-07-06,VIDEO CALL,ENGINEERING LEAD,Leeadership,4.2,HIRE
I3854,C3071,R1064,2024-11-18,IN-PERSON,Recruiter,Leadership,2.6, Strong Hire
I3855,C2240,R1029,2024-04-04,Phone ,HR Director,communication,4.9,Strong Hire
I3856,C2746,R1037,2024-11-20, Video Call, Recruiter,Leadership ,3.6,Strong Hire
I3857,C2269,R1082,2024-06-05, In-Person,Hr director,Communication ,4.0,No Hire
I3858,C2670,R1061,2024-02-12,Phone,Engineeering Lead,Teeamwork,4.8,Neutraal
I3859,C3445,R1123,2024-07-25,Phone,HR DIRECTOR,LEADERSHIP,4.4,Neutral
I3860,C3328,R1109,2024-06-02,Phone,HR DIRECTOR,Problem Solving,3.9,Strong Hiree
I3861,C3856,R1119,2024-06-11,video call, Engineering Lead,Communicaation,3.8,Hire 
I3862,C3064,R1125,2024-12-27,In-Person,ENGINEERING LEAD,Teamwork,2.8,NEUTRAL
I3863,C2250,R1144,2024-06-05,In-Peerson,Marketing Manager , Adaptability,4.9,Hire
I3864,C2946,R1022,2024-03-30,In-Peerson,Ops Director,Personality ,4.6,Hire 
I3865,C4102,R1133,2024-05-06,Video call,Engineering Leaad,Communication,4.6,Strong hire
I3866,C2080,R1061,2024-06-07,Video call,Engineering Lead ,Communication,2.6,Hiree
I3867,C2415,R1121,2024-12-31,PHONE,Engineering Leaad,Personality,4.1,No hire
I3868,C3878,R1117,2024-01-25,Phone,Hr director,Personality,3.3,Strong Hiree
I3869,C2514,R1045,2024-07-01,PHONE,engineering lead,Adaptability,3.7,Strong Hire 
I3870,C3328,R1109,2024-06-23,In-Person, Recruiter,Teamwork,3.2, Hire
I3871,C3610,R1107,2024-04-29,video call,RECRUITER,Personality ,4.6,Hire 
I3872,C4091,R1011,2024-06-27,Phone,ops director,problem solving,4.6,No Hire
I3873,C4930,R1073,2024-06-19,In-person, Engineering Lead,adaptability,4.0,neutral
I3874,C4834,R1008,2024-09-20,Video Call ,Engineering Leaad,Teechnical Skills,3.6,HIRE
I3875,C4587,R1000,2024-07-29,IN-PERSON,Engineeering Lead,Communication,4.6,neutral
I3876,C2549,R1078,2024-08-11,Phone ,Marketing manager,PERSONALITY,2.5,Strong Hire
I3877,C2299,R1029,2024-12-07,Video Call,ENGINEERING LEAD,Technical Skills ,4.0,Neutral 
I3878,C4671,R1082,2024-09-15,Video Caall,marketing manager,Personality,4.2,Neutral
I3879,C2172,R1086,2024-01-26,In-Person,Recruiter, Technical Skills,4.4,neutral
I3880,C2886,R1019,2024-07-16,IN-PERSON,marketing manager,Problem solving,2.6,neutral
I3881,C2995,R1033,2024-11-01,in-person,Maarketing Manager,Teamwork ,2.7,No Hiree
I3882,C2187,R1084,2024-09-02,Video Call,Ops Direector,Peersonality,4.4,Hiree
I3883,C2721,R1132,2024-12-10,In-Person,Recruiter,Communicaation,2.9,strong hire
I3884,C4739,R1075,2024-08-26,Video Caall,Hr director,Leadership,3.4,No Hire
I3885,C4112,R1005,2024-11-24,Phone,Ops director,Teechnical Skills,4.0,no hire
I3886,C3045,R1108,2024-09-03, Video Call,Ops director,Leaadership,4.7,No Hiree
I3887,C3079,R1113,2024-09-08,In-Person,Markeeting Manager,Probleem Solving,3.6,Strong Hire 
I3888,C2413,R1118,2024-04-16,Phonee,Engineering Lead ,Leadership,3.4,No Hiree
I3889,C3243,R1040,2024-01-17,phone,Ops Director,Teaamwork,3.0,Hire
I3890,C2551,R1056,2024-09-03,Video Call ,Marketing Manager ,Adaptability,3.1,Neutraal
I3891,C2991,R1138,2024-02-25,Phone,Reecruiter,Leaadership,2.8,Hiree
I3892,C3520,R1125,2024-07-10,Video Caall,HR Director,adaptability,2.9,STRONG HIRE
I3893,C3188,R1141,2024-12-06,Video Call ,Recruiter, Personality,4.0,Strong Hire
I3894,C4308,R1024,2024-06-07,In-person,Ops Director,Leaadership,3.1,NEUTRAL
I3895,C3546,R1140,2024-01-15,Phonee,HR Director, Communication,3.1,Hire
I3896,C2122,R1103,2024-09-08,in-person,Engineering lead,PERSONALITY,4.0,Hire
I3897,C4832,R1024,2024-07-17, In-Person,Recruiter,Probleem Solving,3.3,No Hiree
I3898,C2625,R1030,2024-08-19,In-Person,HR Director ,Teechnical Skills,2.9,NO HIRE
I3899,C3340,R1026,2024-05-26,In-Peerson,Recruiter,COMMUNICATION,3.1,Hire
I3900,C2159,R1142,2024-09-22,Videeo Call,Maarketing Manager,adaptability,3.0,Strong Hire 
I3901,C4309,R1064,2024-02-05,In-Person,engineering lead,PROBLEM SOLVING,4.4,Strong Hire 
I3902,C3690,R1099,2024-09-26,Videeo Call,recruiter,ADAPTABILITY,3.0,Hire
I3903,C4266,R1085,2024-06-16, Video Call,Marketing Manager,Probleem Solving,4.5,neutral
I3904,C2575,R1041,2024-03-15,Videeo Call,Ops Director , Adaptability,3.3,Hire
I3905,C2655,R1016,2024-08-24,VIDEO CALL,Engineeering Lead,communication,3.1,Neutral
I3906,C2314,R1002,2024-07-13,Video Call ,Recruiter,technical skills,4.8,STRONG HIRE
I3907,C4781,R1115,2024-07-15,video call,engineering lead,Problem solving,4.2,Neutral
I3908,C2349,R1071,2024-07-12, Phone,marketing manager,adaptability,4.6,Hire 
I3909,C4694,R1044,2024-05-14,IN-PERSON,Engineering Leaad,Leadership,3.2,Strong hire
I3910,C2321,R1059,2024-01-05,video call,hr director,problem solving,2.8, Strong Hire
I3911,C3400,R1110,2024-06-08,Phone,HR Director ,teamwork,3.6, Strong Hire
I3912,C3844,R1001,2024-02-21,Phone ,Marketing Manager, Problem Solving,4.5,Neutraal
I3913,C3212,R1056,2024-07-18,In-Person,Ops director,Technical Skills,3.0,No Hire 
I3914,C3113,R1045,2024-01-28,Video Caall,HR DIRECTOR,Leadership ,4.2, Neutral
I3915,C3863,R1031,2024-11-05, In-Person,Recruiter,Communicaation,3.2,Neutral
I3916,C2940,R1010,2024-02-06,phone,HR Direector, Teamwork,2.7, Neutral
I3917,C2017,R1025,2024-06-27,Video Call,HR DIRECTOR,Leaadership,3.4,Strong Hire
I3918,C4002,R1142,2024-05-31,Video call,Recruiter,Technical Skills,5.0,Neutral 
I3919,C3667,R1046,2024-02-01,PHONE,Engineering lead,Leadership,3.5,No Hire
I3920,C3150,R1115,2024-09-17, Video Call,Ops Direector, Leadership,4.7, Neutral
I3921,C3033,R1019,2024-01-28,in-person,Marketing Manager,Teamwork,3.5,Strong Hire
I3922,C3867,R1030,2024-10-31,Video Call,Recruiter,Leadership,4.1, No Hire
I3923,C2808,R1127,2024-01-19,Phone,marketing manager,technical skills,3.6,Neutral
I3924,C3138,R1034,2024-10-30,In-Person,hr director, Personality,3.2,No Hire 
I3925,C3732,R1139,2024-07-10, Video Call,Hr director, Communication,4.2,Neutral 
I3926,C2662,R1144,2024-01-01,phone,Marketing Manager,Adaptability,4.3,No hire
I3927,C2226,R1118,2024-11-27,VIDEO CALL,Markeeting Manager,Personality,4.3,Strong Hire
I3928,C3869,R1031,2024-09-16,phone,Marketing manager, Problem Solving,4.4, Hire
I3929,C4028,R1072,2024-09-02,IN-PERSON,HR Director ,Adaptability,4.6,HIRE
I3930,C4698,R1069,2024-10-22,Video Caall, Recruiter,teamwork,5.0, Hire
I3931,C2822,R1136,2024-10-13,Phone,Ops Direector,Leadership,3.6,No Hire 
I3932,C4625,R1109,2024-03-10,Phone,HR Director ,LEADERSHIP,2.8,Strong Hiree
I3933,C3388,R1125,2024-10-30,Phonee,Ops director, Personality,3.5,Neutral
I3934,C4191,R1017,2024-11-02,In-Person,recruiter,Personality ,3.4,Strong hire
I3935,C4938,R1053,2024-10-25, Phone,HR Director,teamwork,4.3,Neeutral
I3936,C2618,R1058,2024-01-28,Video Call ,HR Director,Personality,4.1,Hiree
I3937,C2029,R1026,2024-10-26,phone,Recruiter,Technical Skills ,3.6,neutral
I3938,C3882,R1077,2024-12-10, Phone,engineering lead,communication,4.6,Strong Hire
I3939,C4277,R1136,2024-09-01,IN-PERSON, HR Director,Teeamwork,4.6,Strong Hiree
I3940,C2523,R1055,2024-11-17,Phone,Recruiter, Personality,3.8,Neutraal
I3941,C3003,R1117,2024-02-06,In-Peerson,Engineering Lead ,Teeamwork,2.7,HIRE
I3942,C4172,R1005,2024-03-03,IN-PERSON,HR Director,Leadership,4.4, Neutral
I3943,C3968,R1029,2024-11-07,video call,HR Director,Communication,3.5,Strong Hiree
I3944,C2977,R1018,2024-03-16,Video call,engineering lead,Leaadership,3.6,Strong hire
I3945,C2922,R1087,2024-11-21,in-person,Ops director,TEAMWORK,4.9,HIRE
I3946,C3647,R1038,2024-03-25,video call,HR Direector,Problem solving,3.7,No Hire 
I3947,C2763,R1039,2024-11-18,VIDEO CALL,Ops Direector, Adaptability,3.1,No hire
I3948,C3758,R1139,2024-01-24,In-Peerson,ops director,adaptability,2.7,Hire
I3949,C3745,R1052,2024-12-25,Video Call,Ops Director,Personaality,3.7,No Hire 
I3950,C3424,R1054,2024-07-01,In-Person,MARKETING MANAGER,Adaaptability,3.8,STRONG HIRE
I3951,C4363,R1124,2024-04-01,PHONE, Recruiter,Leadership,3.7,Strong Hiree
I3952,C4967,R1128,2024-10-01,Videeo Call,Recruiter,Communication,3.3,no hire
I3953,C2027,R1011,2024-09-07,Phone ,Engineering Leaad,Leadership,4.3,Hire 
I3954,C4371,R1070,2024-02-02,Video Call ,RECRUITER,Personaality,3.2,strong hire
I3955,C3963,R1020,2024-06-30,In-person,Maarketing Manager,Technical skills,4.3,NEUTRAL
I3956,C3609,R1051,2024-04-15,In-Person,marketing manager,TECHNICAL SKILLS,3.4,NO HIRE
I3957,C2851,R1018,2024-10-22,Phone,Ops Director,Peersonality,4.9,STRONG HIRE
I3958,C2680,R1120,2024-01-21, In-Person,OPS DIRECTOR,Problem Solving,3.1,hire
I3959,C3932,R1005,2024-05-28,In-person,RECRUITER,Teaamwork,3.1,Neutral 
I3960,C4231,R1076,2024-10-08,VIDEO CALL,HR Director,LEADERSHIP,2.5,Neutral
I3961,C3208,R1135,2024-11-18,Phone,engineering lead,LEADERSHIP,3.7,Neutral
I3962,C3620,R1037,2024-07-05,video call,HR Director ,Personality ,2.7,Strong Hire
I3963,C2330,R1030,2024-03-29,phone, Ops Director, Teamwork,4.3,Hiree
I3964,C2851,R1018,2024-05-03,In-Person,Recruiter,Leadership,5.0,HIRE
I3965,C3319,R1006,2024-04-11,PHONE,Ops director,Technical skills,4.2, Hire
I3966,C3871,R1031,2024-07-31,Video call,ops director,LEADERSHIP,4.6,strong hire
I3967,C4905,R1095,2024-01-05,Video call,Reecruiter,Adaptability,4.0, Neutral
I3968,C3018,R1134,2024-02-20,Phone,Engineering Lead , Personality,2.7,Strong Hiree
I3969,C3785,R1024,2024-06-18, Video Call,Ops Director,Technical Skills,4.2, No Hire
I3970,C4262,R1066,2024-09-21,phone,engineering lead,Leeadership,3.2,NEUTRAL
I3971,C2014,R1023,2024-11-11,IN-PERSON,engineering lead,Technical Skills ,2.5,Strong Hiree
I3972,C4347,R1025,2024-03-22,In-Peerson,Recruiter,Technical Skills ,4.6,No Hire 
I3973,C4859,R1148,2024-04-30,PHONE,HR Director,Personality,5.0, Neutral
I3974,C3432,R1109,2024-01-24,Video Call,Engineering Leaad,LEADERSHIP,4.8,Hire 
I3975,C2436,R1049,2024-08-25,phone,ENGINEERING LEAD,Adaptability ,3.3,NEUTRAL
I3976,C3824,R1019,2024-05-01,IN-PERSON,Marketing Manager,communication,5.0,No Hire
I3977,C2081,R1126,2024-06-07,Video Call ,Ops Director,Teaamwork,2.8,neutral
I3978,C2537,R1072,2024-01-24,Phone,Engineering Lead , Teamwork,4.2,NO HIRE
I3979,C3335,R1087,2024-12-14,In-Person ,Ops Direector,Leadership ,3.6,strong hire
I3980,C2771,R1068,2024-05-08,Video call, Recruiter,Adaptability ,3.7,Hire
