candidate_id,req_id,applied_at,source,final_outcome
C2549,R1078,2024-12-21,Referral ,Rejected
C2550,R1109,2024-03-27,Job Board ,Rejected
C2551,R1056,2024-12-30, Agency,Rejected
C2552,R1034,2024-12-13,LinkedIn,Rejected
C2553,R1091,2024-06-05,agency,Rejected
C2554,R1020,2024-05-23,Referral,Rejected
C2555,R1019,2024-02-08,Job Board,Rejected
C2556,R1148,2024-07-26,Referral,Rejected
C2557,R1139,2024-10-03,AGENCY,Rejected
C2558,R1057,2024-10-28,LINKEDIN,Rejected
C2559,R1130,2024-02-16,Agency ,Rejected
C2560,R1061,2024-11-10,REFERRAL,Rejected
C2561,R1045,2024-10-16,Referraal,Withdrawn
C2562,R1010,2024-04-22,Agency,Hired
C2563,R1094,2024-04-29,Job board,Rejected
C2564,R1092,2024-07-17,Agency,Rejected
C2565,R1010,2024-11-28,linkedin,Rejected
C2566,R1133,2024-11-20, LinkedIn,Rejected
C2567,R1145,2024-03-30,Ageency,Rejected
C2568,R1019,2024-09-21,LinkeedIn,Withdrawn
C2569,R1057,2024-09-21,Agency ,Rejected
C2570,R1088,2024-09-06,Agency,Rejected
C2571,R1035,2024-08-13,Referral,Hired
C2572,R1071,2024-04-18,REFERRAL,Rejected
C2573,R1030,2024-12-04,Reeferral,Rejected
C2574,R1029,2024-09-03,Agency,Rejected
C2575,R1041,2024-11-27,Agency,Rejected
C2576,R1032,2024-10-20,REFERRAL,Rejected
C2577,R1010,2024-10-20,Referral,Rejected
C2578,R1046,2024-09-21,Agency,Rejected
C2579,R1072,2024-02-13,Referraal,Rejected
C2580,R1120,2024-09-03,Referral,Rejected
C2581,R1036,2024-10-25, Referral,Rejected
C2582,R1087,2024-08-20,Job board,Rejected
C2583,R1033,2024-02-25,Job board,Rejected
C2584,R1129,2024-12-16,AGENCY,Rejected
C2585,R1045,2024-08-31,job board,Hired
C2586,R1033,2024-11-04,Job Board,Rejected
C2587,R1094,2024-01-23,Agency,Withdrawn
C2588,R1123,2024-07-14,linkedin,Rejected
C2589,R1065,2024-09-01,referral,Rejected
C2590,R1139,2024-07-28,Linkedin,Hired
C2591,R1001,2024-10-22,Job Board,Rejected
C2592,R1052,2024-12-18,LinkeedIn,Rejected
C2593,R1039,2024-08-06, LinkedIn,Rejected
C2594,R1108,2024-10-16, LinkedIn,Withdrawn
C2595,R1101,2024-04-14,Agency,Rejected
C2596,R1143,2024-10-11, Agency,Withdrawn
C2597,R1147,2024-06-25,AGENCY,Rejected
C2598,R1030,2024-04-27,AGENCY,Hired
C2599,R1130,2024-07-24,LinkedIn,Rejected
C2600,R1001,2024-02-16,Referraal,Withdrawn
C2601,R1111,2024-02-15, Job Board,Rejected
C2602,R1020,2024-11-07,Job Board,Withdrawn
C2603,R1102,2024-11-10,LinkedIn,Withdrawn
C2604,R1044,2024-11-23,Agency,Hired
C2605,R1132,2024-05-26,Referral,Rejected
C2606,R1130,2024-09-21,REFERRAL,Rejected
C2607,R1092,2024-05-02,JOB BOARD,Hired
C2608,R1070,2024-07-23,LinkeedIn,Rejected
C2609,R1051,2024-09-22,job board,Withdrawn
C2610,R1140,2024-05-25,LinkedIn ,Withdrawn
C2611,R1070,2024-04-25,Referraal,Withdrawn
C2612,R1147,2024-01-03,LINKEDIN,Rejected
C2613,R1027,2024-10-13, Job Board,Rejected
C2614,R1029,2024-09-19, LinkedIn,Rejected
C2615,R1096,2024-10-15,Agency,Rejected
C2616,R1117,2024-12-14,Agency,Rejected
C2617,R1066,2024-02-04,Agency,Rejected
C2618,R1058,2024-06-10,Agency ,Rejected
C2619,R1002,2024-12-24,Linkedin,Rejected
C2620,R1102,2024-12-10,linkedin,Rejected
C2621,R1045,2024-08-31,LinkedIn ,Rejected
C2622,R1146,2024-05-17,Referral,Rejected
C2623,R1051,2024-04-30, Referral,Rejected
C2624,R1051,2024-05-07,LINKEDIN,Rejected
C2625,R1030,2024-02-10,Agency,Rejected
C2626,R1138,2024-01-22,Agency ,Rejected
C2627,R1126,2024-10-21,LinkedIn,Rejected
C2628,R1130,2024-05-23,Agency,Rejected
C2629,R1032,2024-01-28,Agency,Withdrawn
C2630,R1008,2024-09-14,LinkeedIn,Rejected
C2631,R1044,2024-08-22,Job Boaard,Rejected
C2632,R1002,2024-01-07,Reeferral,Rejected
C2633,R1083,2024-07-04,LINKEDIN,Rejected
C2634,R1060,2024-05-17,Agency ,Rejected
C2635,R1127,2024-08-05,Reeferral,Rejected
C2636,R1095,2024-07-05, Agency,Rejected
C2637,R1146,2024-03-08,referral,Rejected
C2638,R1060,2024-10-11,Ageency,Rejected
C2639,R1038,2024-08-30,JOB BOARD,Rejected
C2640,R1034,2024-11-18,LinkedIn,Rejected
C2641,R1143,2024-10-17,Job Board,Hired
C2642,R1041,2024-01-31, Referral,Rejected
C2643,R1024,2024-08-18, LinkedIn,Rejected
C2644,R1143,2024-10-12,LinkedIn ,Hired
C2645,R1031,2024-06-28,REFERRAL,Withdrawn
C2646,R1072,2024-06-30,LinkedIn,Rejected
C2647,R1114,2024-02-10, Agency,Rejected
C2648,R1037,2024-03-26,LinkeedIn,Rejected
C2649,R1146,2024-07-26,job board,Rejected
C2650,R1058,2024-06-09, LinkedIn,Rejected
C2651,R1101,2024-05-18,Agency ,Rejected
C2652,R1133,2024-08-18,AGENCY,Rejected
C2653,R1005,2024-03-05, Referral,Withdrawn
C2654,R1020,2024-04-17,Reeferral,Hired
C2655,R1016,2024-08-30,Job Board,Rejected
C2656,R1134,2024-02-12, Job Board,Rejected
C2657,R1021,2024-12-01, Agency,Rejected
C2658,R1072,2024-08-14,REFERRAL,Rejected
C2659,R1043,2024-01-15,Job Board ,Rejected
C2660,R1083,2024-08-31, Agency,Rejected
C2661,R1034,2024-12-23,Referraal,Rejected
C2662,R1144,2024-08-10,LinkedIn ,Rejected
C2663,R1058,2024-02-15, Agency,Rejected
C2664,R1066,2024-03-20,LinkedIn,Hired
C2665,R1034,2024-06-25,LinkedIn,Rejected
C2666,R1125,2024-09-01,LinkedIn,Rejected
C2667,R1074,2024-11-01,Referral,Rejected
C2668,R1048,2024-07-29,Ageency,Rejected
C2669,R1099,2024-07-12, Referral,Hired
C2670,R1061,2024-09-21, LinkedIn,Rejected
C2671,R1136,2024-05-17,Agency,Rejected
C2672,R1046,2024-03-10,linkedin,Rejected
C2673,R1115,2024-05-19,Agency,Rejected
C2674,R1038,2024-01-26,JOB BOARD,Withdrawn
C2675,R1072,2024-05-17,Referraal,Rejected
C2676,R1059,2024-02-16,Referral,Rejected
C2677,R1087,2024-08-03,LinkedIn,Withdrawn
C2678,R1118,2024-12-22,Job Board ,Hired
C2679,R1037,2024-01-29,LinkeedIn,Hired
C2680,R1120,2024-04-02, Referral,Rejected
C2681,R1003,2024-03-03,Reeferral,Rejected
C2682,R1113,2024-05-06,Job board,Rejected
C2683,R1024,2024-09-23,Referraal,Rejected
C2684,R1079,2024-06-14,Referral,Rejected
C2685,R1140,2024-09-23, Job Board,Rejected
C2686,R1076,2024-04-11,LinkedIn,Rejected
C2687,R1055,2024-02-27,Reeferral,Rejected
C2688,R1042,2024-05-21,Job Board,Rejected
C2689,R1002,2024-01-22,AGENCY,Rejected
C2690,R1022,2024-05-07,Referraal,Hired
C2691,R1086,2024-11-16,Job Board,Rejected
C2692,R1039,2024-12-25,JOB BOARD,Rejected
C2693,R1081,2024-10-12,LinkedIn,Rejected
C2694,R1005,2024-12-18,Agency ,Rejected
C2695,R1064,2024-01-21,Agency,Rejected
C2696,R1138,2024-12-22,Agency,Rejected
C2697,R1139,2024-06-27,LinkedIn,Rejected
C2698,R1141,2024-03-23,JOB BOARD,Rejected
C2699,R1067,2024-10-04,LinkedIn,Hired
C2700,R1129,2024-07-13,Referral,Rejected
C2701,R1093,2024-11-13,Referral ,Rejected
C2702,R1137,2024-07-17,Referraal,Rejected
C2703,R1039,2024-11-09,LinkedIn ,Rejected
C2704,R1082,2024-02-26,job board,Hired
C2705,R1033,2024-04-01,Job board,Hired
C2706,R1049,2024-02-20,Job Board,Rejected
C2707,R1134,2024-11-15,LinkedIn,Rejected
C2708,R1018,2024-01-07,Referraal,Withdrawn
C2709,R1020,2024-08-27,Job Board ,Rejected
C2710,R1106,2024-07-07, Job Board,Rejected
C2711,R1018,2024-06-04,Job board,Withdrawn
C2712,R1024,2024-02-21,Reeferral,Rejected
C2713,R1134,2024-12-02,REFERRAL,Rejected
C2714,R1142,2024-07-31,Job Board ,Rejected
C2715,R1109,2024-02-23,REFERRAL,Rejected
C2716,R1129,2024-06-21,Referraal,Withdrawn
C2717,R1080,2024-10-08,LinkedIn ,Rejected
C2718,R1110,2024-06-14,Referral,Rejected
C2719,R1140,2024-05-10,LinkedIn,Rejected
C2720,R1101,2024-01-01, Job Board,Rejected
C2721,R1132,2024-03-10,LinkedIn,Rejected
C2722,R1056,2024-04-19,LinkedIn,Rejected
C2723,R1070,2024-10-10,referral,Hired
C2724,R1091,2024-03-20, Referral,Rejected
C2725,R1149,2024-05-07, Referral,Rejected
C2726,R1023,2024-10-19,Agency,Rejected
C2727,R1083,2024-09-04,Referraal,Rejected
C2728,R1147,2024-02-18,LinkedIn,Rejected
C2729,R1147,2024-07-14,Job Board,Withdrawn
C2730,R1085,2024-06-27,Ageency,Withdrawn
C2731,R1030,2024-04-26,Job Board,Hired
C2732,R1134,2024-01-22,LINKEDIN,Rejected
C2733,R1056,2024-03-19,Job Board,Withdrawn
C2734,R1147,2024-09-15,Job board,Rejected
C2735,R1100,2024-03-16,Referral ,Hired
C2736,R1146,2024-01-26, Agency,Hired
C2737,R1128,2024-08-10,REFERRAL,Rejected
C2738,R1050,2024-09-06,Agency,Rejected
C2739,R1134,2024-05-06,referral,Rejected
C2740,R1110,2024-06-14,job board,Rejected
C2741,R1108,2024-07-06,Linkedin,Rejected
C2742,R1006,2024-06-05,Referral ,Rejected
C2743,R1113,2024-11-15,Referraal,Hired
C2744,R1059,2024-04-12,LINKEDIN,Rejected
C2745,R1021,2024-02-27,Job board,Withdrawn
C2746,R1037,2024-05-27,Job Board ,Rejected
C2747,R1028,2024-06-05,Agency,Hired
C2748,R1053,2024-10-02,Referral,Rejected
C2749,R1066,2024-10-07,AGENCY,Rejected
C2750,R1004,2024-07-11, Job Board,Rejected
C2751,R1072,2024-04-12,LinkedIn,Rejected
C2752,R1002,2024-02-04, Agency,Rejected
C2753,R1092,2024-02-25, Job Board,Rejected
C2754,R1098,2024-04-28,agency,Withdrawn
C2755,R1124,2024-11-01,JOB BOARD,Rejected
C2756,R1117,2024-10-14,Job Board,Rejected
C2757,R1135,2024-06-05,LinkedIn,Rejected
C2758,R1040,2024-01-10,LinkedIn ,Rejected
C2759,R1077,2024-04-30,LinkedIn,Rejected
C2760,R1099,2024-01-16,Linkedin,Rejected
C2761,R1100,2024-12-02,referral,Rejected
C2762,R1133,2024-12-13,Reeferral,Rejected
C2763,R1039,2024-08-06,LinkedIn ,Rejected
C2764,R1033,2024-04-15,Referral,Rejected
C2765,R1079,2024-12-18,Reeferral,Withdrawn
C2766,R1037,2024-12-01,Referral ,Hired
C2767,R1136,2024-03-01,Referral ,Rejected
C2768,R1037,2024-01-16,LinkeedIn,Withdrawn
C2769,R1077,2024-08-14,LINKEDIN,Rejected
C2770,R1027,2024-03-08,Referral,Rejected
C2771,R1068,2024-11-06,Referral,Rejected
C2772,R1006,2024-07-02,Job Boaard,Hired
C2773,R1120,2024-12-30,LINKEDIN,Rejected
C2774,R1125,2024-08-30,REFERRAL,Rejected
C2775,R1008,2024-07-28, Job Board,Withdrawn
C2776,R1056,2024-12-09,Referral,Hired
C2777,R1112,2024-11-11,Agency ,Rejected
C2778,R1063,2024-08-06,Agency,Rejected
C2779,R1097,2024-06-09,Agency,Rejected
C2780,R1115,2024-08-21,Job board,Rejected
C2781,R1101,2024-01-21,Agency,Rejected
C2782,R1112,2024-07-22, LinkedIn,Rejected
C2783,R1108,2024-05-30,JOB BOARD,Rejected
C2784,R1115,2024-02-16,JOB BOARD,Rejected
C2785,R1139,2024-03-10,Ageency,Rejected
C2786,R1006,2024-04-01,Agency,Rejected
C2787,R1023,2024-05-08,LINKEDIN,Rejected
C2788,R1031,2024-02-16,Job Boaard,Rejected
C2789,R1021,2024-09-25,AGENCY,Rejected
C2790,R1097,2024-01-23,Referral ,Rejected
C2791,R1038,2024-03-24,REFERRAL,Rejected
C2792,R1013,2024-08-02, LinkedIn,Rejected
C2793,R1114,2024-05-27,referral,Rejected
C2794,R1051,2024-01-02,LinkedIn,Rejected
C2795,R1127,2024-10-05,Job Boaard,Rejected
C2796,R1121,2024-08-20,Agency,Hired
C2797,R1001,2024-05-05,Linkedin,Hired
C2798,R1037,2024-01-29,LinkedIn,Hired
C2799,R1008,2024-12-07,LinkedIn ,Withdrawn
C2800,R1012,2024-02-25,AGENCY,Rejected
C2801,R1072,2024-11-08,Referraal,Rejected
C2802,R1092,2024-01-19, Job Board,Rejected
C2803,R1097,2024-02-04,agency,Rejected
C2804,R1034,2024-03-03,LinkedIn ,Rejected
C2805,R1134,2024-04-17,Referral,Hired
C2806,R1135,2024-02-14, Agency,Rejected
C2807,R1081,2024-05-12,LINKEDIN,Rejected
C2808,R1127,2024-09-23,Agency,Rejected
C2809,R1059,2024-12-28,Linkedin,Hired
C2810,R1006,2024-08-26,Job board,Rejected
C2811,R1106,2024-07-30,Job Board ,Rejected
C2812,R1054,2024-01-06, Referral,Rejected
C2813,R1017,2024-06-06,LinkedIn ,Rejected
C2814,R1029,2024-12-17,LinkedIn ,Rejected
C2815,R1145,2024-11-11,JOB BOARD,Rejected
C2816,R1086,2024-12-10,Agency,Rejected
C2817,R1034,2024-09-03,Referraal,Rejected
C2818,R1137,2024-06-20,Ageency,Withdrawn
C2819,R1014,2024-09-23,LinkedIn ,Rejected
C2820,R1004,2024-04-16,LinkedIn ,Hired
C2821,R1038,2024-05-23,Job Board ,Withdrawn
C2822,R1136,2024-03-25,AGENCY,Rejected
C2823,R1078,2024-12-27,LinkedIn,Rejected
C2824,R1022,2024-09-11,Referral ,Rejected
C2825,R1077,2024-04-20,LINKEDIN,Hired
C2826,R1009,2024-04-13,Job Boaard,Rejected
C2827,R1123,2024-09-13,Referral,Rejected
C2828,R1123,2024-09-25,LinkedIn ,Hired
C2829,R1025,2024-09-21,Referral,Rejected
C2830,R1117,2024-07-17,Job Board,Rejected
C2831,R1011,2024-12-17,Job Board ,Rejected
C2832,R1011,2024-02-22,LinkedIn,Rejected
C2833,R1079,2024-11-23,Referral ,Rejected
C2834,R1073,2024-05-21,LinkedIn,Rejected
C2835,R1069,2024-03-17, Referral,Hired
C2836,R1143,2024-09-20,Job board,Rejected
C2837,R1140,2024-06-12,LINKEDIN,Withdrawn
C2838,R1072,2024-10-20,REFERRAL,Hired
C2839,R1086,2024-10-03,Agency,Hired
C2840,R1120,2024-12-11,job board,Rejected
C2841,R1022,2024-08-06,AGENCY,Rejected
C2842,R1114,2024-11-11, LinkedIn,Rejected
C2843,R1050,2024-12-31,Job Boaard,Rejected
C2844,R1023,2024-12-23,agency,Rejected
C2845,R1119,2024-08-28,Referral,Hired
C2846,R1066,2024-07-05,AGENCY,Rejected
C2847,R1084,2024-06-15,Agency,Hired
C2848,R1121,2024-02-27,LinkedIn,Rejected
C2849,R1043,2024-05-24,LINKEDIN,Rejected
C2850,R1103,2024-12-31,Job Board ,Rejected
C2851,R1018,2024-06-03,Ageency,Rejected
C2852,R1061,2024-11-13,REFERRAL,Withdrawn
C2853,R1098,2024-02-03,Linkedin,Rejected
C2854,R1110,2024-08-10,Linkedin,Rejected
C2855,R1019,2024-12-30,agency,Rejected
C2856,R1118,2024-06-15,Job Boaard,Rejected
C2857,R1103,2024-02-05,Job Board,Rejected
C2858,R1015,2024-02-16,REFERRAL,Rejected
C2859,R1000,2024-03-16,Referraal,Rejected
C2860,R1099,2024-11-11,Agency,Rejected
C2861,R1081,2024-06-02,LinkeedIn,Rejected
C2862,R1088,2024-02-15,Job Board,Rejected
C2863,R1075,2024-02-01,LinkedIn,Hired
C2864,R1143,2024-07-02, Job Board,Rejected
C2865,R1060,2024-08-09,Agency ,Rejected
C2866,R1103,2024-07-14,Agency,Rejected
C2867,R1121,2024-03-12,Reeferral,Rejected
C2868,R1092,2024-08-01, Referral,Withdrawn
C2869,R1032,2024-03-09,job board,Rejected
C2870,R1036,2024-09-06,AGENCY,Hired
C2871,R1106,2024-08-21,AGENCY,Rejected
C2872,R1108,2024-10-09,Ageency,Rejected
C2873,R1047,2024-08-05,Job Boaard,Rejected
C2874,R1060,2024-12-30,LinkeedIn,Withdrawn
C2875,R1147,2024-07-06,Job Board,Rejected
C2876,R1094,2024-02-27,agency,Hired
C2877,R1134,2024-05-23,agency,Rejected
C2878,R1022,2024-05-05,agency,Rejected
C2879,R1138,2024-10-23,LinkedIn,Withdrawn
C2880,R1136,2024-01-06,Agency,Rejected
C2881,R1120,2024-10-20,LinkeedIn,Rejected
C2882,R1075,2024-05-28,Referral,Rejected
C2883,R1077,2024-10-15,LinkedIn,Rejected
C2884,R1148,2024-03-27, Job Board,Rejected
C2885,R1006,2024-05-26,agency,Hired
C2886,R1019,2024-05-22,LINKEDIN,Rejected
C2887,R1070,2024-05-11,job board,Rejected
C2888,R1038,2024-12-03,Agency ,Rejected
C2889,R1066,2024-12-24,Referraal,Rejected
C2890,R1135,2024-01-17,linkedin,Withdrawn
C2891,R1039,2024-09-10,Ageency,Rejected
C2892,R1112,2024-11-22,Referral,Rejected
C2893,R1088,2024-01-28,linkedin,Hired
C2894,R1118,2024-07-23, Agency,Rejected
C2895,R1136,2024-04-29,Ageency,Rejected
C2896,R1037,2024-09-28,Agency,Rejected
C2897,R1114,2024-07-14,LinkedIn,Hired
C2898,R1136,2024-11-22,LinkeedIn,Rejected
C2899,R1069,2024-06-20, LinkedIn,Rejected
C2900,R1065,2024-12-01,Agency,Rejected
C2901,R1061,2024-12-10,Referral ,Rejected
C2902,R1046,2024-06-09,Job Board,Rejected
C2903,R1003,2024-07-29,job board,Rejected
C2904,R1089,2024-04-22, LinkedIn,Rejected
C2905,R1006,2024-11-13,Job Board,Withdrawn
C2906,R1055,2024-11-02,job board,Hired
C2907,R1033,2024-07-11,referral,Rejected
C2908,R1064,2024-05-30,agency,Rejected
C2909,R1070,2024-08-06, LinkedIn,Rejected
C2910,R1018,2024-05-21,Job Board,Rejected
C2911,R1015,2024-05-12,LINKEDIN,Rejected
C2912,R1125,2024-04-12,AGENCY,Rejected
C2913,R1027,2024-03-14,Agency,Rejected
C2914,R1027,2024-08-14,linkedin,Hired
C2915,R1018,2024-10-19,LinkedIn,Hired
C2916,R1127,2024-03-17,Job Board,Rejected
C2917,R1068,2024-03-18,LinkeedIn,Rejected
C2918,R1131,2024-12-28,Agency,Rejected
C2919,R1017,2024-10-03,Referral,Rejected
C2920,R1123,2024-03-03,LinkedIn ,Rejected
C2921,R1102,2024-01-29,Job Board ,Rejected
C2922,R1087,2024-02-11, Agency,Rejected
C2923,R1045,2024-10-10,Job Board,Rejected
C2924,R1076,2024-12-22,agency,Rejected
C2925,R1091,2024-09-06,Job Boaard,Rejected
C2926,R1035,2024-01-19,Referral,Rejected
C2927,R1061,2024-09-07,agency,Rejected
C2928,R1078,2024-09-12,Agency,Hired
C2929,R1014,2024-06-21,Job Board,Hired
C2930,R1133,2024-08-22,Referral,Withdrawn
C2931,R1009,2024-03-13,Agency,Rejected
C2932,R1011,2024-05-04,Referral,Rejected
C2933,R1012,2024-06-06,Job Boaard,Rejected
C2934,R1016,2024-02-24,Job Boaard,Rejected
C2935,R1056,2024-02-02,Reeferral,Rejected
C2936,R1102,2024-06-15,JOB BOARD,Rejected
C2937,R1054,2024-01-24,Referral ,Hired
C2938,R1070,2024-03-13,AGENCY,Rejected
C2939,R1141,2024-03-25,Agency,Withdrawn
C2940,R1010,2024-03-09,Job Board,Rejected
C2941,R1004,2024-09-06,Job Board,Hired
C2942,R1022,2024-12-27,LinkeedIn,Rejected
C2943,R1121,2024-12-20,Referral,Hired
C2944,R1069,2024-09-24,Ageency,Rejected
C2945,R1044,2024-11-08,JOB BOARD,Rejected
C2946,R1022,2024-11-17,LinkedIn ,Rejected
C2947,R1142,2024-04-30,referral,Withdrawn
C2948,R1024,2024-11-12,Linkedin,Rejected
C2949,R1053,2024-05-21,Job board,Hired
C2950,R1038,2024-12-16,Agency,Rejected
C2951,R1011,2024-01-28, LinkedIn,Rejected
C2952,R1064,2024-06-20,Agency,Hired
C2953,R1013,2024-10-02,REFERRAL,Rejected
C2954,R1124,2024-09-20,job board,Rejected
C2955,R1113,2024-10-30,LinkeedIn,Rejected
C2956,R1083,2024-04-27,Job Board ,Rejected
C2957,R1060,2024-07-30,Reeferral,Rejected
C2958,R1018,2024-08-29,Agency,Rejected
C2959,R1037,2024-04-20,AGENCY,Rejected
C2960,R1034,2024-08-22,Referral ,Withdrawn
C2961,R1051,2024-06-20,Referral,Rejected
C2962,R1015,2024-05-23,referral,Rejected
C2963,R1117,2024-08-02,Referral ,Rejected
C2964,R1075,2024-11-05,REFERRAL,Rejected
C2965,R1141,2024-04-27,Job Board,Rejected
C2966,R1125,2024-04-20,Agency,Rejected
C2967,R1109,2024-05-06,Referral ,Rejected
C2968,R1056,2024-10-29,Referral,Rejected
C2969,R1011,2024-01-21,Agency,Rejected
C2970,R1100,2024-09-02,Job Boaard,Rejected
C2971,R1021,2024-10-12,Job Board,Withdrawn
C2972,R1033,2024-07-02,Linkedin,Rejected
C2973,R1023,2024-01-09, Agency,Rejected
C2974,R1117,2024-10-19,Job Boaard,Rejected
C2975,R1035,2024-12-26,AGENCY,Rejected
C2976,R1094,2024-11-16,Agency,Rejected
C2977,R1018,2024-07-16,LinkedIn,Rejected
C2978,R1069,2024-12-23,referral,Rejected
C2979,R1085,2024-01-29,LinkedIn,Hired
C2980,R1093,2024-08-26,Job Board ,Rejected
C2981,R1143,2024-12-26,Job board,Hired
C2982,R1085,2024-05-02,Job Boaard,Rejected
C2983,R1148,2024-12-25,Referral,Rejected
C2984,R1068,2024-09-14, Agency,Hired
C2985,R1095,2024-06-25,Agency,Rejected
C2986,R1031,2024-08-28,LinkedIn,Rejected
C2987,R1016,2024-04-06,agency,Hired
C2988,R1045,2024-05-27,job board,Rejected
C2989,R1028,2024-12-22,Referraal,Rejected
C2990,R1052,2024-09-23, Job Board,Rejected
C2991,R1138,2024-03-08,Agency ,Rejected
C2992,R1005,2024-05-29,referral,Hired
C2993,R1059,2024-09-23,LinkeedIn,Rejected
C2994,R1083,2024-09-05,Agency,Rejected
C2995,R1033,2024-06-05, Referral,Rejected
C2996,R1095,2024-05-27,JOB BOARD,Rejected
C2997,R1116,2024-03-26, Referral,Rejected
C2998,R1044,2024-12-28,REFERRAL,Rejected
C2999,R1010,2024-06-11,Referraal,Rejected
C3000,R1047,2024-04-15,Job Board ,Withdrawn
C3001,R1037,2024-07-09,AGENCY,Rejected
C3002,R1031,2024-01-13,Agency,Rejected
C3003,R1117,2024-06-12,Referral,Withdrawn
C3004,R1139,2024-09-16, LinkedIn,Rejected
C3005,R1074,2024-10-20,Referraal,Rejected
C3006,R1028,2024-09-02,JOB BOARD,Rejected
C3007,R1029,2024-06-06,Job Board,Rejected
C3008,R1056,2024-08-16,linkedin,Rejected
C3009,R1049,2024-10-25, Referral,Rejected
C3010,R1021,2024-10-02,agency,Withdrawn
C3011,R1100,2024-04-09,Agency ,Rejected
C3012,R1130,2024-01-29,LinkeedIn,Hired
C3013,R1109,2024-07-08,Agency ,Hired
C3014,R1088,2024-06-28,LinkedIn,Rejected
C3015,R1022,2024-04-20,Ageency,Rejected
C3016,R1073,2024-03-24,Ageency,Hired
C3017,R1022,2024-03-14, Referral,Rejected
C3018,R1134,2024-06-20,Job Board,Hired
C3019,R1104,2024-11-23,LinkeedIn,Rejected
C3020,R1118,2024-12-29,Referral,Rejected
C3021,R1097,2024-05-28,Agency,Rejected
C3022,R1077,2024-10-26,LinkedIn,Rejected
C3023,R1118,2024-04-24,Job Board,Rejected
C3024,R1076,2024-11-23,agency,Rejected
C3025,R1073,2024-08-01,Referraal,Withdrawn
C3026,R1062,2024-01-15, Job Board,Rejected
C3027,R1017,2024-11-02,LinkedIn,Rejected
C3028,R1066,2024-11-17,agency,Rejected
C3029,R1147,2024-01-09,LINKEDIN,Rejected
C3030,R1037,2024-06-12,AGENCY,Rejected
C3031,R1013,2024-05-19,LinkeedIn,Rejected
C3032,R1091,2024-01-25, LinkedIn,Rejected
C3033,R1019,2024-09-20,REFERRAL,Rejected
C3034,R1042,2024-10-05,LinkedIn ,Rejected
C3035,R1077,2024-05-18,linkedin,Rejected
C3036,R1090,2024-03-14,JOB BOARD,Rejected
C3037,R1095,2024-09-05,Agency ,Withdrawn
C3038,R1041,2024-02-22,REFERRAL,Rejected
C3039,R1048,2024-10-13,Job Board,Rejected
C3040,R1019,2024-02-29,Referral,Rejected
C3041,R1079,2024-12-19,LINKEDIN,Rejected
C3042,R1133,2024-06-24, Referral,Hired
C3043,R1030,2024-04-23,REFERRAL,Rejected
C3044,R1078,2024-03-05,REFERRAL,Withdrawn
C3045,R1108,2024-12-19,job board,Hired
C3046,R1123,2024-08-08,Job board,Hired
C3047,R1131,2024-10-30,Job Boaard,Hired
C3048,R1064,2024-01-23, Job Board,Rejected
C3049,R1024,2024-03-04,Referral,Rejected
C3050,R1089,2024-01-15,JOB BOARD,Rejected
C3051,R1071,2024-10-23,LinkedIn ,Rejected
C3052,R1128,2024-11-09,referral,Hired
C3053,R1148,2024-01-08,Referral,Withdrawn
C3054,R1043,2024-10-02,job board,Withdrawn
C3055,R1129,2024-12-28,Agency ,Rejected
C3056,R1047,2024-08-13,JOB BOARD,Rejected
C3057,R1097,2024-08-05,Referral,Rejected
C3058,R1080,2024-03-04,agency,Rejected
C3059,R1126,2024-07-03,LinkedIn,Hired
C3060,R1126,2024-02-29, Agency,Rejected
C3061,R1079,2024-12-17,Agency,Rejected
C3062,R1074,2024-08-07,referral,Rejected
C3063,R1121,2024-12-13,LINKEDIN,Hired
C3064,R1125,2024-12-10,Job Board,Rejected
C3065,R1021,2024-03-02,Reeferral,Rejected
C3066,R1026,2024-03-27,Job Board ,Withdrawn
C3067,R1086,2024-04-12,agency,Rejected
C3068,R1108,2024-09-12, LinkedIn,Rejected
C3069,R1102,2024-07-01,Ageency,Withdrawn
C3070,R1130,2024-05-22,Referraal,Hired
C3071,R1064,2024-09-07,Agency,Rejected
C3072,R1034,2024-01-16,Job Board,Rejected
C3073,R1127,2024-12-13,JOB BOARD,Rejected
C3074,R1083,2024-03-19,linkedin,Rejected
C3075,R1133,2024-09-09,Agency,Rejected
C3076,R1127,2024-09-08,LinkedIn ,Rejected
C3077,R1138,2024-10-06,Job Board,Withdrawn
C3078,R1030,2024-07-15,Agency ,Rejected
C3079,R1113,2024-08-23,Job Board,Rejected
C3080,R1077,2024-12-27,Referraal,Rejected
C3081,R1079,2024-07-18,agency,Rejected
C3082,R1125,2024-12-03,Agency,Rejected
C3083,R1040,2024-09-16,Job Board,Rejected
C3084,R1096,2024-11-11, LinkedIn,Rejected
C3085,R1007,2024-10-29,JOB BOARD,Rejected
C3086,R1089,2024-10-25,Job Board ,Rejected
C3087,R1109,2024-06-25,LinkeedIn,Rejected
C3088,R1062,2024-05-06, Referral,Rejected
C3089,R1016,2024-06-05,Job Board ,Rejected
C3090,R1137,2024-06-15,Job Boaard,Rejected
C3091,R1108,2024-10-17, Agency,Hired
C3092,R1120,2024-10-28,Job Board ,Rejected
C3093,R1099,2024-06-14,Job Boaard,Hired
C3094,R1052,2024-06-21,Agency ,Rejected
C3095,R1076,2024-07-05,Agency,Rejected
C3096,R1019,2024-10-01, Referral,Rejected
